full_date,date_key,day,month,month_name,month_short,quarter,quarter_label,year,year_quarter,year_month,week_number,day_of_week,day_name,is_weekend,is_month_start,is_month_end
2021-01-01,20210101,1,1,January,Jan,1,Q1,2021,2021-Q1,2021-01,53,5,Friday,0,1,0
2021-01-02,20210102,2,1,January,Jan,1,Q1,2021,2021-Q1,2021-01,53,6,Saturday,1,0,0
2021-01-03,20210103,3,1,January,Jan,1,Q1,2021,2021-Q1,2021-01,53,7,Sunday,1,0,0
2021-01-04,20210104,4,1,January,Jan,1,Q1,2021,2021-Q1,2021-01,1,1,Monday,0,0,0
2021-01-05,20210105,5,1,January,Jan,1,Q1,2021,2021-Q1,2021-01,1,2,Tuesday,0,0,0
2021-01-06,20210106,6,1,January,Jan,1,Q1,2021,2021-Q1,2021-01,1,3,Wednesday,0,0,0
2021-01-07,20210107,7,1,January,Jan,1,Q1,2021,2021-Q1,2021-01,1,4,Thursday,0,0,0
2021-01-08,20210108,8,1,January,Jan,1,Q1,2021,2021-Q1,2021-01,1,5,Friday,0,0,0
2021-01-09,20210109,9,1,January,Jan,1,Q1,2021,2021-Q1,2021-01,1,6,Saturday,1,0,0
2021-01-10,20210110,10,1,January,Jan,1,Q1,2021,2021-Q1,2021-01,1,7,Sunday,1,0,0
2021-01-11,20210111,11,1,January,Jan,1,Q1,2021,2021-Q1,2021-01,2,1,Monday,0,0,0
2021-01-12,20210112,12,1,January,Jan,1,Q1,2021,2021-Q1,2021-01,2,2,Tuesday,0,0,0
2021-01-13,20210113,13,1,January,Jan,1,Q1,2021,2021-Q1,2021-01,2,3,Wednesday,0,0,0
2021-01-14,20210114,14,1,January,Jan,1,Q1,2021,2021-Q1,2021-01,2,4,Thursday,0,0,0
2021-01-15,20210115,15,1,January,Jan,1,Q1,2021,2021-Q1,2021-01,2,5,Friday,0,0,0
2021-01-16,20210116,16,1,January,Jan,1,Q1,2021,2021-Q1,2021-01,2,6,Saturday,1,0,0
2021-01-17,20210117,17,1,January,Jan,1,Q1,2021,2021-Q1,2021-01,2,7,Sunday,1,0,0
2021-01-18,20210118,18,1,January,Jan,1,Q1,2021,2021-Q1,2021-01,3,1,Monday,0,0,0
2021-01-19,20210119,19,1,January,Jan,1,Q1,2021,2021-Q1,2021-01,3,2,Tuesday,0,0,0
2021-01-20,20210120,20,1,January,Jan,1,Q1,2021,2021-Q1,2021-01,3,3,Wednesday,0,0,0
2021-01-21,20210121,21,1,January,Jan,1,Q1,2021,2021-Q1,2021-01,3,4,Thursday,0,0,0
2021-01-22,20210122,22,1,January,Jan,1,Q1,2021,2021-Q1,2021-01,3,5,Friday,0,0,0
2021-01-23,20210123,23,1,January,Jan,1,Q1,2021,2021-Q1,2021-01,3,6,Saturday,1,0,0
2021-01-24,20210124,24,1,January,Jan,1,Q1,2021,2021-Q1,2021-01,3,7,Sunday,1,0,0
2021-01-25,20210125,25,1,January,Jan,1,Q1,2021,2021-Q1,2021-01,4,1,Monday,0,0,0
2021-01-26,20210126,26,1,January,Jan,1,Q1,2021,2021-Q1,2021-01,4,2,Tuesday,0,0,0
2021-01-27,20210127,27,1,January,Jan,1,Q1,2021,2021-Q1,2021-01,4,3,Wednesday,0,0,0
2021-01-28,20210128,28,1,January,Jan,1,Q1,2021,2021-Q1,2021-01,4,4,Thursday,0,0,0
2021-01-29,20210129,29,1,January,Jan,1,Q1,2021,2021-Q1,2021-01,4,5,Friday,0,0,0
2021-01-30,20210130,30,1,January,Jan,1,Q1,2021,2021-Q1,2021-01,4,6,Saturday,1,0,0
2021-01-31,20210131,31,1,January,Jan,1,Q1,2021,2021-Q1,2021-01,4,7,Sunday,1,0,1
2021-02-01,20210201,1,2,February,Feb,1,Q1,2021,2021-Q1,2021-02,5,1,Monday,0,1,0
2021-02-02,20210202,2,2,February,Feb,1,Q1,2021,2021-Q1,2021-02,5,2,Tuesday,0,0,0
2021-02-03,20210203,3,2,February,Feb,1,Q1,2021,2021-Q1,2021-02,5,3,Wednesday,0,0,0
2021-02-04,20210204,4,2,February,Feb,1,Q1,2021,2021-Q1,2021-02,5,4,Thursday,0,0,0
2021-02-05,20210205,5,2,February,Feb,1,Q1,2021,2021-Q1,2021-02,5,5,Friday,0,0,0
2021-02-06,20210206,6,2,February,Feb,1,Q1,2021,2021-Q1,2021-02,5,6,Saturday,1,0,0
2021-02-07,20210207,7,2,February,Feb,1,Q1,2021,2021-Q1,2021-02,5,7,Sunday,1,0,0
2021-02-08,20210208,8,2,February,Feb,1,Q1,2021,2021-Q1,2021-02,6,1,Monday,0,0,0
2021-02-09,20210209,9,2,February,Feb,1,Q1,2021,2021-Q1,2021-02,6,2,Tuesday,0,0,0
2021-02-10,20210210,10,2,February,Feb,1,Q1,2021,2021-Q1,2021-02,6,3,Wednesday,0,0,0
2021-02-11,20210211,11,2,February,Feb,1,Q1,2021,2021-Q1,2021-02,6,4,Thursday,0,0,0
2021-02-12,20210212,12,2,February,Feb,1,Q1,2021,2021-Q1,2021-02,6,5,Friday,0,0,0
2021-02-13,20210213,13,2,February,Feb,1,Q1,2021,2021-Q1,2021-02,6,6,Saturday,1,0,0
2021-02-14,20210214,14,2,February,Feb,1,Q1,2021,2021-Q1,2021-02,6,7,Sunday,1,0,0
2021-02-15,20210215,15,2,February,Feb,1,Q1,2021,2021-Q1,2021-02,7,1,Monday,0,0,0
2021-02-16,20210216,16,2,February,Feb,1,Q1,2021,2021-Q1,2021-02,7,2,Tuesday,0,0,0
2021-02-17,20210217,17,2,February,Feb,1,Q1,2021,2021-Q1,2021-02,7,3,Wednesday,0,0,0
2021-02-18,20210218,18,2,February,Feb,1,Q1,2021,2021-Q1,2021-02,7,4,Thursday,0,0,0
2021-02-19,20210219,19,2,February,Feb,1,Q1,2021,2021-Q1,2021-02,7,5,Friday,0,0,0
2021-02-20,20210220,20,2,February,Feb,1,Q1,2021,2021-Q1,2021-02,7,6,Saturday,1,0,0
2021-02-21,20210221,21,2,February,Feb,1,Q1,2021,2021-Q1,2021-02,7,7,Sunday,1,0,0
2021-02-22,20210222,22,2,February,Feb,1,Q1,2021,2021-Q1,2021-02,8,1,Monday,0,0,0
2021-02-23,20210223,23,2,February,Feb,1,Q1,2021,2021-Q1,2021-02,8,2,Tuesday,0,0,0
2021-02-24,20210224,24,2,February,Feb,1,Q1,2021,2021-Q1,2021-02,8,3,Wednesday,0,0,0
2021-02-25,20210225,25,2,February,Feb,1,Q1,2021,2021-Q1,2021-02,8,4,Thursday,0,0,0
2021-02-26,20210226,26,2,February,Feb,1,Q1,2021,2021-Q1,2021-02,8,5,Friday,0,0,0
2021-02-27,20210227,27,2,February,Feb,1,Q1,2021,2021-Q1,2021-02,8,6,Saturday,1,0,0
2021-02-28,20210228,28,2,February,Feb,1,Q1,2021,2021-Q1,2021-02,8,7,Sunday,1,0,1
2021-03-01,20210301,1,3,March,Mar,1,Q1,2021,2021-Q1,2021-03,9,1,Monday,0,1,0
2021-03-02,20210302,2,3,March,Mar,1,Q1,2021,2021-Q1,2021-03,9,2,Tuesday,0,0,0
2021-03-03,20210303,3,3,March,Mar,1,Q1,2021,2021-Q1,2021-03,9,3,Wednesday,0,0,0
2021-03-04,20210304,4,3,March,Mar,1,Q1,2021,2021-Q1,2021-03,9,4,Thursday,0,0,0
2021-03-05,20210305,5,3,March,Mar,1,Q1,2021,2021-Q1,2021-03,9,5,Friday,0,0,0
2021-03-06,20210306,6,3,March,Mar,1,Q1,2021,2021-Q1,2021-03,9,6,Saturday,1,0,0
2021-03-07,20210307,7,3,March,Mar,1,Q1,2021,2021-Q1,2021-03,9,7,Sunday,1,0,0
2021-03-08,20210308,8,3,March,Mar,1,Q1,2021,2021-Q1,2021-03,10,1,Monday,0,0,0
2021-03-09,20210309,9,3,March,Mar,1,Q1,2021,2021-Q1,2021-03,10,2,Tuesday,0,0,0
2021-03-10,20210310,10,3,March,Mar,1,Q1,2021,2021-Q1,2021-03,10,3,Wednesday,0,0,0
2021-03-11,20210311,11,3,March,Mar,1,Q1,2021,2021-Q1,2021-03,10,4,Thursday,0,0,0
2021-03-12,20210312,12,3,March,Mar,1,Q1,2021,2021-Q1,2021-03,10,5,Friday,0,0,0
2021-03-13,20210313,13,3,March,Mar,1,Q1,2021,2021-Q1,2021-03,10,6,Saturday,1,0,0
2021-03-14,20210314,14,3,March,Mar,1,Q1,2021,2021-Q1,2021-03,10,7,Sunday,1,0,0
2021-03-15,20210315,15,3,March,Mar,1,Q1,2021,2021-Q1,2021-03,11,1,Monday,0,0,0
2021-03-16,20210316,16,3,March,Mar,1,Q1,2021,2021-Q1,2021-03,11,2,Tuesday,0,0,0
2021-03-17,20210317,17,3,March,Mar,1,Q1,2021,2021-Q1,2021-03,11,3,Wednesday,0,0,0
2021-03-18,20210318,18,3,March,Mar,1,Q1,2021,2021-Q1,2021-03,11,4,Thursday,0,0,0
2021-03-19,20210319,19,3,March,Mar,1,Q1,2021,2021-Q1,2021-03,11,5,Friday,0,0,0
2021-03-20,20210320,20,3,March,Mar,1,Q1,2021,2021-Q1,2021-03,11,6,Saturday,1,0,0
2021-03-21,20210321,21,3,March,Mar,1,Q1,2021,2021-Q1,2021-03,11,7,Sunday,1,0,0
2021-03-22,20210322,22,3,March,Mar,1,Q1,2021,2021-Q1,2021-03,12,1,Monday,0,0,0
2021-03-23,20210323,23,3,March,Mar,1,Q1,2021,2021-Q1,2021-03,12,2,Tuesday,0,0,0
2021-03-24,20210324,24,3,March,Mar,1,Q1,2021,2021-Q1,2021-03,12,3,Wednesday,0,0,0
2021-03-25,20210325,25,3,March,Mar,1,Q1,2021,2021-Q1,2021-03,12,4,Thursday,0,0,0
2021-03-26,20210326,26,3,March,Mar,1,Q1,2021,2021-Q1,2021-03,12,5,Friday,0,0,0
2021-03-27,20210327,27,3,March,Mar,1,Q1,2021,2021-Q1,2021-03,12,6,Saturday,1,0,0
2021-03-28,20210328,28,3,March,Mar,1,Q1,2021,2021-Q1,2021-03,12,7,Sunday,1,0,0
2021-03-29,20210329,29,3,March,Mar,1,Q1,2021,2021-Q1,2021-03,13,1,Monday,0,0,0
2021-03-30,20210330,30,3,March,Mar,1,Q1,2021,2021-Q1,2021-03,13,2,Tuesday,0,0,0
2021-03-31,20210331,31,3,March,Mar,1,Q1,2021,2021-Q1,2021-03,13,3,Wednesday,0,0,1
2021-04-01,20210401,1,4,April,Apr,2,Q2,2021,2021-Q2,2021-04,13,4,Thursday,0,1,0
2021-04-02,20210402,2,4,April,Apr,2,Q2,2021,2021-Q2,2021-04,13,5,Friday,0,0,0
2021-04-03,20210403,3,4,April,Apr,2,Q2,2021,2021-Q2,2021-04,13,6,Saturday,1,0,0
2021-04-04,20210404,4,4,April,Apr,2,Q2,2021,2021-Q2,2021-04,13,7,Sunday,1,0,0
2021-04-05,20210405,5,4,April,Apr,2,Q2,2021,2021-Q2,2021-04,14,1,Monday,0,0,0
2021-04-06,20210406,6,4,April,Apr,2,Q2,2021,2021-Q2,2021-04,14,2,Tuesday,0,0,0
2021-04-07,20210407,7,4,April,Apr,2,Q2,2021,2021-Q2,2021-04,14,3,Wednesday,0,0,0
2021-04-08,20210408,8,4,April,Apr,2,Q2,2021,2021-Q2,2021-04,14,4,Thursday,0,0,0
2021-04-09,20210409,9,4,April,Apr,2,Q2,2021,2021-Q2,2021-04,14,5,Friday,0,0,0
2021-04-10,20210410,10,4,April,Apr,2,Q2,2021,2021-Q2,2021-04,14,6,Saturday,1,0,0
2021-04-11,20210411,11,4,April,Apr,2,Q2,2021,2021-Q2,2021-04,14,7,Sunday,1,0,0
2021-04-12,20210412,12,4,April,Apr,2,Q2,2021,2021-Q2,2021-04,15,1,Monday,0,0,0
2021-04-13,20210413,13,4,April,Apr,2,Q2,2021,2021-Q2,2021-04,15,2,Tuesday,0,0,0
2021-04-14,20210414,14,4,April,Apr,2,Q2,2021,2021-Q2,2021-04,15,3,Wednesday,0,0,0
2021-04-15,20210415,15,4,April,Apr,2,Q2,2021,2021-Q2,2021-04,15,4,Thursday,0,0,0
2021-04-16,20210416,16,4,April,Apr,2,Q2,2021,2021-Q2,2021-04,15,5,Friday,0,0,0
2021-04-17,20210417,17,4,April,Apr,2,Q2,2021,2021-Q2,2021-04,15,6,Saturday,1,0,0
2021-04-18,20210418,18,4,April,Apr,2,Q2,2021,2021-Q2,2021-04,15,7,Sunday,1,0,0
2021-04-19,20210419,19,4,April,Apr,2,Q2,2021,2021-Q2,2021-04,16,1,Monday,0,0,0
2021-04-20,20210420,20,4,April,Apr,2,Q2,2021,2021-Q2,2021-04,16,2,Tuesday,0,0,0
2021-04-21,20210421,21,4,April,Apr,2,Q2,2021,2021-Q2,2021-04,16,3,Wednesday,0,0,0
2021-04-22,20210422,22,4,April,Apr,2,Q2,2021,2021-Q2,2021-04,16,4,Thursday,0,0,0
2021-04-23,20210423,23,4,April,Apr,2,Q2,2021,2021-Q2,2021-04,16,5,Friday,0,0,0
2021-04-24,20210424,24,4,April,Apr,2,Q2,2021,2021-Q2,2021-04,16,6,Saturday,1,0,0
2021-04-25,20210425,25,4,April,Apr,2,Q2,2021,2021-Q2,2021-04,16,7,Sunday,1,0,0
2021-04-26,20210426,26,4,April,Apr,2,Q2,2021,2021-Q2,2021-04,17,1,Monday,0,0,0
2021-04-27,20210427,27,4,April,Apr,2,Q2,2021,2021-Q2,2021-04,17,2,Tuesday,0,0,0
2021-04-28,20210428,28,4,April,Apr,2,Q2,2021,2021-Q2,2021-04,17,3,Wednesday,0,0,0
2021-04-29,20210429,29,4,April,Apr,2,Q2,2021,2021-Q2,2021-04,17,4,Thursday,0,0,0
2021-04-30,20210430,30,4,April,Apr,2,Q2,2021,2021-Q2,2021-04,17,5,Friday,0,0,1
2021-05-01,20210501,1,5,May,May,2,Q2,2021,2021-Q2,2021-05,17,6,Saturday,1,1,0
2021-05-02,20210502,2,5,May,May,2,Q2,2021,2021-Q2,2021-05,17,7,Sunday,1,0,0
2021-05-03,20210503,3,5,May,May,2,Q2,2021,2021-Q2,2021-05,18,1,Monday,0,0,0
2021-05-04,20210504,4,5,May,May,2,Q2,2021,2021-Q2,2021-05,18,2,Tuesday,0,0,0
2021-05-05,20210505,5,5,May,May,2,Q2,2021,2021-Q2,2021-05,18,3,Wednesday,0,0,0
2021-05-06,20210506,6,5,May,May,2,Q2,2021,2021-Q2,2021-05,18,4,Thursday,0,0,0
2021-05-07,20210507,7,5,May,May,2,Q2,2021,2021-Q2,2021-05,18,5,Friday,0,0,0
2021-05-08,20210508,8,5,May,May,2,Q2,2021,2021-Q2,2021-05,18,6,Saturday,1,0,0
2021-05-09,20210509,9,5,May,May,2,Q2,2021,2021-Q2,2021-05,18,7,Sunday,1,0,0
2021-05-10,20210510,10,5,May,May,2,Q2,2021,2021-Q2,2021-05,19,1,Monday,0,0,0
